File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
20100,2d,h264,119.88,1707269,1707.269,,94.43,90.58,89.34,88.75,94.40,0.03%,18.08,18.09,,46.22,42.68,42.18,42.09,0.983,0.962,0.958,0.957
20101,2d,h264 to h264,150.13,1618237,1618.237,,93.34,88.90,86.86,85.96,93.30,0.04%,17.34,17.34,,45.73,42.19,41.74,41.57,0.982,0.960,0.955,0.954
20102,2d,h264 to h265,74.38,990764,990.764,,93.17,88.41,87.31,87.11,93.13,0.04%,10.63,10.64,,45.92,42.33,41.65,41.51,0.982,0.962,0.957,0.955
20103,2d,h264 to h264_nvenc,279.35,3851708,3851.708,,94.17,90.25,88.90,88.24,94.14,0.04%,40.90,40.92,,46.04,42.60,42.09,41.97,0.983,0.962,0.958,0.956
20104,2d,h264 to h265_nvenc,203.62,4248953,4248.953,,93.99,89.94,88.54,87.78,93.96,0.04%,45.20,45.22,,46.20,42.77,42.35,42.25,0.984,0.963,0.959,0.957
20106,2d,h264 to h264_qsv_v6_q,98.90,3482603,3482.603,,93.96,89.86,88.44,87.82,93.92,0.04%,37.07,37.08,,46.01,42.57,42.13,42.03,0.983,0.962,0.958,0.956
20107,2d,h264 to h265_qsv_v6_q,82.57,1552125,1552.125,,93.49,88.44,86.57,86.45,93.45,0.05%,16.60,16.61,,45.26,41.89,41.45,41.17,0.981,0.960,0.956,0.954
20200,2d,h265,71.27,994843,994.843,,94.34,90.06,88.93,88.60,94.30,0.04%,10.55,10.55,,46.50,43.01,42.45,42.21,0.984,0.963,0.960,0.959
20201,2d,h265 to h264,146.12,1120254,1120.254,,92.57,87.64,85.96,85.83,92.53,0.04%,12.10,12.11,,45.81,42.26,41.66,41.49,0.982,0.962,0.957,0.955
20202,2d,h265 to h265,75.18,887774,887.774,,92.92,87.58,85.79,85.39,92.87,0.05%,9.55,9.56,,46.11,42.49,41.80,41.62,0.983,0.962,0.958,0.958
20203,2d,h265 to h264_nvenc,217.71,3290301,3290.301,,93.99,89.69,88.46,88.13,93.95,0.04%,35.01,35.02,,46.34,42.92,42.38,42.22,0.984,0.963,0.959,0.958
20204,2d,h265 to h265_nvenc,207.31,3649893,3649.893,,93.72,89.34,88.28,87.59,93.68,0.04%,38.95,38.96,,46.36,42.99,42.46,42.25,0.984,0.963,0.959,0.959
20206,2d,h265 to h264_qsv_v6_q,92.40,2771210,2771.21,,93.67,89.19,88.00,87.52,93.63,0.04%,29.59,29.60,,46.28,42.81,42.20,42.03,0.983,0.963,0.959,0.957
20207,2d,h265 to h265_qsv_v6_q,78.13,1253160,1253.16,,92.49,87.38,86.13,85.86,92.44,0.05%,13.55,13.56,,45.67,42.29,41.72,41.39,0.981,0.961,0.957,0.955
20300,2d,h264_nvenc,267.85,7127961,7127.961,,96.78,94.56,93.78,93.67,96.77,0.02%,73.65,73.66,,48.14,44.24,43.78,43.56,0.988,0.969,0.966,0.963
20301,2d,h264_nvenc to h264,148.39,1709038,1709.038,,94.21,90.75,89.34,88.67,94.18,0.03%,18.14,18.15,,46.19,42.66,42.21,42.09,0.983,0.963,0.958,0.957
