File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
50100,fork,h264,15.19,26526862,26526.862,,98.52,94.41,93.13,92.05,98.50,0.02%,269.24,269.30,,45.64,42.25,41.60,41.41,0.978,0.959,0.956,0.955
50101,fork,h264 to h264,21.51,20629567,20629.567,,97.67,92.76,91.72,91.16,97.64,0.04%,211.22,211.29,,44.64,41.11,40.57,40.29,0.974,0.947,0.941,0.939
50102,fork,h264 to h265,3.43,11109434,11109.434,,97.53,92.27,91.27,90.99,97.49,0.04%,113.91,113.96,,44.72,41.03,40.58,40.52,0.974,0.944,0.936,0.935
50103,fork,h264 to h264_nvenc,64.38,33996457,33996.457,,98.49,94.30,93.43,92.97,98.47,0.02%,345.18,345.26,,45.13,41.48,40.99,40.80,0.976,0.949,0.943,0.941
50104,fork,h264 to h265_nvenc,44.79,19925315,19925.315,,98.61,94.32,93.32,93.07,98.59,0.02%,202.06,202.10,,45.04,40.85,40.44,40.26,0.976,0.943,0.935,0.934
50106,fork,h264 to h264_qsv_v6_q,29.46,27487687,27487.687,,98.41,94.11,93.05,92.36,98.38,0.02%,279.32,279.39,,45.02,41.62,41.01,40.84,0.976,0.952,0.947,0.946
50107,fork,h264 to h265_qsv_v6_q,23.09,14416334,14416.334,,97.41,92.49,91.19,89.95,97.37,0.04%,148.00,148.06,,44.35,40.78,40.23,40.04,0.974,0.943,0.934,0.933
50200,fork,h265,3.16,15620660,15620.66,,98.44,93.63,92.70,91.85,98.41,0.03%,158.69,158.73,,45.65,42.05,41.40,41.27,0.978,0.954,0.947,0.946
50201,fork,h265 to h264,18.29,20932247,20932.247,,97.53,92.55,91.75,91.28,97.49,0.04%,214.62,214.70,,44.56,40.95,40.50,40.33,0.974,0.944,0.935,0.933
50202,fork,h265 to h265,3.23,12936924,12936.924,,97.43,91.94,91.04,90.69,97.39,0.04%,132.79,132.84,,44.83,41.17,40.65,40.47,0.975,0.946,0.938,0.935
50203,fork,h265 to h264_nvenc,49.70,34816180,34816.18,,98.40,93.90,93.17,92.84,98.38,0.03%,353.81,353.90,,45.09,41.37,40.90,40.74,0.976,0.947,0.939,0.937
50204,fork,h265 to h265_nvenc,44.69,19900002,19900.002,,98.48,93.83,93.00,92.67,98.46,0.02%,202.07,202.12,,44.94,40.77,40.40,40.29,0.975,0.942,0.934,0.932
50206,fork,h265 to h264_qsv_v6_q,25.54,30660206,30660.206,,98.35,93.78,92.93,92.39,98.32,0.03%,311.75,311.83,,45.01,41.51,40.94,40.72,0.976,0.949,0.940,0.938
50207,fork,h265 to h265_qsv_v6_q,22.01,15059794,15059.794,,97.63,92.63,91.61,89.27,97.59,0.04%,154.26,154.32,,44.55,40.89,40.39,40.18,0.974,0.942,0.934,0.931
50300,fork,h264_nvenc,52.68,39964995,39964.995,,99.68,96.79,95.26,93.32,99.68,0.00%,400.92,400.93,,46.81,42.76,41.90,41.68,0.983,0.958,0.949,0.947
50301,fork,h264_nvenc to h264,21.38,19077805,19077.805,,98.41,93.99,93.03,92.38,98.38,0.02%,193.87,193.91,,44.88,41.17,40.72,40.46,0.975,0.944,0.936,0.932
50302,fork,h264_nvenc to h265,3.51,9838599,9838.599,,98.38,93.71,92.96,92.64,98.35,0.03%,100.01,100.03,,45.01,41.14,40.59,40.35,0.976,0.942,0.934,0.930
50303,fork,h264_nvenc to h264_nvenc,64.26,34855797,34855.797,,99.46,96.10,95.04,93.61,99.46,0.01%,350.44,350.46,,45.85,41.82,41.12,40.90,0.979,0.949,0.941,0.938
50304,fork,h264_nvenc to h265_nvenc,44.89,19965181,19965.181,,99.50,95.97,94.84,94.27,99.50,0.01%,200.65,200.66,,45.40,41.00,40.54,40.42,0.977,0.941,0.933,0.931
50306,fork,h264_nvenc to h264_qsv_v6_q,29.61,27909700,27909.7,,99.31,95.95,95.01,94.63,99.30,0.01%,281.04,281.07,,45.48,41.82,41.12,40.81,0.977,0.949,0.941,0.937
50307,fork,h264_nvenc to h265_qsv_v6_q,22.67,13987348,13987.348,,98.18,93.58,92.53,91.54,98.15,0.03%,142.47,142.51,,44.50,40.82,40.27,40.09,0.975,0.940,0.932,0.929
50400,fork,h265_nvenc,44.91,19985673,19985.673,,99.46,95.80,95.03,94.88,99.46,0.01%,200.93,200.95,,45.92,41.46,41.02,40.80,0.979,0.947,0.939,0.937
50401,fork,h265_nvenc to h264,22.94,16915407,16915.407,,98.34,93.84,92.97,91.59,98.32,0.03%,172.01,172.05,,44.57,40.51,40.23,40.13,0.974,0.937,0.930,0.928
50402,fork,h265_nvenc to h265,3.50,9484014,9484.014,,98.36,93.58,92.76,92.30,98.34,0.03%,96.42,96.45,,44.81,40.66,40.25,40.10,0.975,0.939,0.931,0.929
50403,fork,h265_nvenc to h264_nvenc,64.21,31980881,31980.881,,99.32,95.64,94.69,93.81,99.31,0.01%,322.00,322.04,,45.21,40.91,40.53,40.42,0.976,0.940,0.933,0.931
50404,fork,h265_nvenc to h265_nvenc,45.30,19970981,19970.981,,99.20,94.89,93.71,93.15,99.19,0.01%,201.32,201.34,,45.21,40.62,40.34,40.26,0.977,0.941,0.933,0.931
50406,fork,h265_nvenc to h264_qsv_v6_q,29.66,23775958,23775.958,,99.13,95.30,94.63,93.97,99.11,0.01%,239.86,239.89,,45.01,40.93,40.53,40.36,0.976,0.940,0.933,0.931
