File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
40100,action,h264,58.82,10841897,10841.897,,98.60,91.57,88.14,85.31,98.55,0.04%,109.96,110.01,,42.75,38.84,37.88,36.89,0.971,0.949,0.942,0.936
40101,action,h264 to h264,67.92,8786953,8786.953,,97.17,88.62,85.85,84.37,97.07,0.10%,90.43,90.52,,41.56,37.61,36.61,35.84,0.964,0.935,0.928,0.920
40102,action,h264 to h265,9.63,7315850,7315.85,,97.73,89.31,86.09,83.45,97.66,0.08%,74.85,74.91,,41.60,37.80,36.98,36.06,0.963,0.923,0.911,0.907
40103,action,h264 to h264_nvenc,249.63,11626395,11626.395,,97.69,89.22,85.68,82.41,97.62,0.08%,119.01,119.10,,41.64,37.17,36.29,35.55,0.963,0.922,0.905,0.895
40104,action,h264 to h265_nvenc,174.39,9452412,9452.412,,97.31,87.99,85.20,82.95,97.22,0.10%,97.13,97.23,,41.70,36.37,35.44,34.55,0.963,0.912,0.891,0.880
40106,action,h264 to h264_qsv_v6_q,96.28,16501333,16501.333,,97.94,89.97,86.68,83.80,97.87,0.07%,168.48,168.60,,42.11,38.30,37.42,36.39,0.967,0.940,0.933,0.925
40107,action,h264 to h265_qsv_v6_q,72.94,7879326,7879.326,,96.91,87.38,84.72,82.78,96.80,0.11%,81.31,81.40,,40.92,37.02,36.31,35.37,0.959,0.914,0.897,0.889
40200,action,h265,9.16,8944154,8944.154,,99.28,93.30,89.09,84.58,99.26,0.02%,90.09,90.11,,43.22,39.63,38.98,38.31,0.971,0.940,0.934,0.930
40201,action,h265 to h264,67.05,7827204,7827.204,,97.67,89.57,86.77,84.90,97.59,0.08%,80.14,80.21,,41.50,37.72,36.94,36.26,0.963,0.922,0.910,0.904
40202,action,h265 to h265,9.19,7597247,7597.247,,98.60,91.35,87.94,84.51,98.56,0.04%,77.05,77.09,,42.17,38.48,37.72,37.42,0.966,0.924,0.910,0.901
40203,action,h265 to h264_nvenc,237.74,11531669,11531.669,,98.59,90.90,87.12,82.78,98.54,0.05%,116.96,117.02,,42.06,37.72,36.76,36.40,0.965,0.917,0.896,0.887
40204,action,h265 to h265_nvenc,175.83,9450172,9450.172,,98.24,89.40,86.17,84.19,98.18,0.06%,96.19,96.26,,42.12,36.69,35.68,34.77,0.965,0.912,0.889,0.883
40206,action,h265 to h264_qsv_v6_q,86.01,16045823,16045.823,,98.76,91.69,87.98,84.02,98.72,0.04%,162.47,162.54,,42.49,38.95,38.26,37.77,0.968,0.932,0.922,0.918
40207,action,h265 to h265_qsv_v6_q,70.41,7599352,7599.352,,97.37,88.08,85.22,83.76,97.27,0.10%,78.05,78.12,,41.36,37.54,36.91,36.32,0.961,0.914,0.893,0.889
40300,action,h264_nvenc,245.43,12976812,12976.812,,99.32,92.84,88.45,82.97,99.30,0.02%,130.65,130.68,,43.36,38.46,37.49,37.27,0.972,0.929,0.910,0.904
40301,action,h264_nvenc to h264,71.93,7651979,7651.979,,97.36,88.11,85.32,82.69,97.27,0.09%,78.59,78.67,,41.43,37.00,36.06,35.69,0.962,0.913,0.890,0.882
40302,action,h264_nvenc to h265,9.82,6732896,6732.896,,98.37,90.08,86.40,82.01,98.31,0.06%,68.45,68.48,,41.85,37.48,36.61,36.22,0.963,0.910,0.886,0.877
40303,action,h264_nvenc to h264_nvenc,246.94,11826985,11826.985,,98.48,89.46,85.76,81.62,98.43,0.06%,120.09,120.16,,42.48,37.64,36.63,36.42,0.967,0.917,0.896,0.889
40304,action,h264_nvenc to h265_nvenc,176.14,9576731,9576.731,,98.13,88.27,85.25,83.06,98.06,0.07%,97.59,97.66,,42.07,36.25,35.12,34.66,0.964,0.905,0.884,0.877
40306,action,h264_nvenc to h264_qsv_v6_q,93.52,15645756,15645.756,,98.67,90.55,86.64,82.28,98.62,0.05%,158.57,158.64,,42.45,37.95,36.99,36.74,0.967,0.921,0.900,0.892
40307,action,h264_nvenc to h265_qsv_v6_q,71.96,7562836,7562.836,,97.50,87.30,83.67,81.63,97.41,0.10%,77.57,77.64,,41.05,36.77,35.91,35.58,0.959,0.902,0.876,0.867
40400,action,h265_nvenc,176.41,9609628,9609.628,,98.90,90.76,86.26,82.90,98.86,0.04%,97.17,97.20,,42.95,37.28,36.17,35.47,0.970,0.919,0.900,0.892
40401,action,h265_nvenc to h264,73.61,6961585,6961.585,,96.65,86.68,83.76,82.28,96.54,0.12%,72.03,72.11,,41.25,36.25,35.32,34.60,0.960,0.903,0.879,0.870
40402,action,h265_nvenc to h265,9.61,6321168,6321.168,,97.82,88.53,84.80,82.37,97.74,0.08%,64.62,64.67,,41.71,36.71,35.73,35.09,0.962,0.904,0.882,0.877
