File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
10100,bluray,h264,80.27,4498542,4498.542,,97.00,90.37,87.69,86.01,96.94,0.07%,46.38,46.41,,46.24,38.59,36.29,35.76,0.986,0.970,0.960,0.956
10101,bluray,h264 to h264,94.17,4249121,4249.121,,95.09,86.99,83.70,80.08,94.99,0.11%,44.69,44.73,,45.10,37.25,35.32,34.77,0.983,0.960,0.950,0.946
10102,bluray,h264 to h265,52.14,2915840,2915.84,,94.58,85.39,77.71,74.46,94.47,0.11%,30.83,30.86,,45.08,36.36,34.30,33.79,0.983,0.951,0.938,0.927
10103,bluray,h264 to h264_nvenc,254.21,7970400,7970.4,,96.16,87.40,82.48,80.98,96.08,0.08%,82.88,82.95,,45.64,35.55,32.27,31.37,0.985,0.937,0.907,0.887
10104,bluray,h264 to h265_nvenc,179.12,7502941,7502.941,,96.07,84.41,76.42,75.18,95.98,0.10%,78.09,78.17,,45.93,34.18,31.09,30.26,0.985,0.922,0.886,0.870
10106,bluray,h264 to h264_qsv_v6_q,97.35,8112532,8112.532,,96.03,87.95,82.03,79.03,95.94,0.09%,84.48,84.56,,45.60,37.86,35.91,35.59,0.985,0.964,0.956,0.953
10107,bluray,h264 to h265_qsv_v6_q,73.09,4735698,4735.698,,94.97,85.14,76.91,70.37,94.85,0.13%,49.86,49.93,,44.29,36.24,34.47,34.16,0.981,0.951,0.942,0.935
10200,bluray,h265,50.20,3057265,3057.265,,96.83,88.77,82.89,79.62,96.76,0.07%,31.57,31.60,,46.38,38.06,35.96,35.34,0.986,0.963,0.954,0.947
10201,bluray,h265 to h264,86.43,4013881,4013.881,,94.04,84.86,79.35,76.62,93.93,0.12%,42.68,42.73,,44.86,36.13,34.14,33.48,0.983,0.950,0.937,0.928
10202,bluray,h265 to h265,53.42,2794138,2794.138,,94.48,84.88,77.00,73.10,94.38,0.11%,29.57,29.61,,45.31,36.55,34.58,33.95,0.983,0.952,0.940,0.930
10203,bluray,h265 to h264_nvenc,207.06,7772763,7772.763,,95.84,85.73,79.76,75.98,95.76,0.09%,81.10,81.17,,45.80,35.28,32.29,31.22,0.985,0.934,0.908,0.885
10204,bluray,h265 to h265_nvenc,180.62,7304361,7304.361,,95.72,82.90,75.41,74.13,95.62,0.11%,76.31,76.39,,46.01,34.08,31.05,30.33,0.985,0.920,0.886,0.871
10206,bluray,h265 to h264_qsv_v6_q,89.80,7870043,7870.043,,95.68,86.57,78.32,74.57,95.58,0.10%,82.26,82.34,,45.72,37.36,35.60,34.98,0.985,0.958,0.947,0.939
10207,bluray,h265 to h265_qsv_v6_q,70.17,4533329,4533.329,,93.84,82.90,72.51,66.42,93.70,0.15%,48.31,48.38,,44.64,35.85,34.10,33.68,0.981,0.946,0.934,0.921
10300,bluray,h264_nvenc,251.55,8751948,8751.948,,98.73,90.63,84.21,82.73,98.70,0.03%,88.65,88.67,,48.30,36.54,32.67,31.70,0.990,0.946,0.915,0.895
10301,bluray,h264_nvenc to h264,92.12,4348041,4348.041,,96.01,86.87,81.55,80.11,95.93,0.09%,45.29,45.33,,45.69,35.30,32.16,31.18,0.985,0.935,0.905,0.884
10302,bluray,h264_nvenc to h265,54.13,2918662,2918.662,,95.90,84.88,77.94,75.66,95.82,0.09%,30.43,30.46,,45.85,35.14,32.02,30.98,0.984,0.931,0.902,0.881
10303,bluray,h264_nvenc to h264_nvenc,254.79,8211277,8211.277,,98.01,86.79,77.30,75.97,97.95,0.05%,83.78,83.83,,47.32,35.58,31.87,30.90,0.988,0.934,0.900,0.877
10304,bluray,h264_nvenc to h265_nvenc,180.23,7883217,7883.217,,97.81,82.27,70.85,69.58,97.73,0.08%,80.60,80.66,,47.41,33.83,30.46,29.61,0.988,0.910,0.868,0.847
