File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
80100,compressed,h264,116.54,3274920,3274.92,,82.02,0.00,0.00,0.00,22.30,114.48%,39.93,146.83,,41.13,32.48,29.64,28.43,0.966,0.888,0.872,0.857
80101,compressed,h264 to h264,119.29,3255354,3255.354,,81.76,0.00,0.00,0.00,22.29,114.31%,39.81,146.04,,40.97,32.29,29.47,28.21,0.965,0.883,0.866,0.851
80102,compressed,h264 to h265,14.14,3391641,3391.641,,81.81,0.00,0.00,0.00,22.24,114.49%,41.46,152.48,,41.10,32.32,29.52,28.28,0.966,0.884,0.867,0.851
80103,compressed,h264 to h264_nvenc,265.22,6779416,6779.416,,82.10,0.00,0.00,0.00,22.10,115.16%,82.58,306.77,,40.97,32.04,29.37,27.90,0.965,0.873,0.853,0.839
80104,compressed,h264 to h265_nvenc,185.40,6390002,6390.002,,82.36,0.00,0.00,0.00,22.28,114.83%,77.58,286.77,,41.10,31.57,27.95,25.31,0.966,0.871,0.842,0.830
80106,compressed,h264 to h264_qsv_v6_q,98.31,7774047,7774.047,,82.21,0.00,0.00,0.00,22.21,114.93%,94.56,350.08,,41.00,32.44,29.70,28.50,0.965,0.886,0.868,0.851
80107,compressed,h264 to h265_qsv_v6_q,76.66,4671115,4671.115,,81.52,0.00,0.00,0.00,22.04,114.86%,57.30,211.91,,40.65,32.18,29.49,28.31,0.963,0.881,0.864,0.845
80200,compressed,h265,14.05,3427008,3427.008,,82.11,0.00,0.00,0.00,22.32,114.51%,41.74,153.54,,41.33,32.59,29.77,28.57,0.967,0.890,0.873,0.858
80201,compressed,h265 to h264,105.07,3417866,3417.866,,81.89,0.00,0.00,0.00,22.27,114.48%,41.74,153.49,,41.03,32.32,29.52,28.33,0.965,0.884,0.867,0.850
80202,compressed,h265 to h265,14.14,3314893,3314.893,,81.98,0.00,0.00,0.00,22.28,114.51%,40.44,148.75,,41.25,32.46,29.66,28.31,0.966,0.886,0.870,0.853
80203,compressed,h265 to h264_nvenc,214.17,6789536,6789.536,,82.28,0.00,0.00,0.00,22.11,115.28%,82.52,307.08,,41.17,32.14,29.46,27.87,0.966,0.874,0.854,0.839
80204,compressed,h265 to h265_nvenc,189.47,6326398,6326.398,,82.54,0.00,0.00,0.00,22.22,115.15%,76.65,284.68,,41.28,31.66,28.03,25.40,0.966,0.873,0.844,0.833
80206,compressed,h265 to h264_qsv_v6_q,90.67,7941958,7941.958,,82.38,0.00,0.00,0.00,22.25,114.94%,96.40,356.96,,41.21,32.57,29.83,28.62,0.966,0.887,0.870,0.852
80207,compressed,h265 to h265_qsv_v6_q,73.82,4520438,4520.438,,82.05,0.00,0.00,0.00,22.26,114.63%,55.10,203.07,,40.95,32.31,29.63,28.41,0.964,0.883,0.866,0.850
80300,compressed,h264_nvenc,266.85,6947723,6947.723,,82.44,0.00,0.00,0.00,22.11,115.40%,84.28,314.19,,41.21,32.29,29.56,27.97,0.966,0.879,0.858,0.838
80301,compressed,h264_nvenc to h264,112.52,3576679,3576.679,,82.12,0.00,0.00,0.00,22.12,115.12%,43.55,161.68,,40.96,32.03,29.32,27.78,0.965,0.872,0.851,0.829
80302,compressed,h264_nvenc to h265,13.79,3507334,3507.334,,82.28,0.00,0.00,0.00,22.07,115.39%,42.63,158.90,,41.19,32.14,29.41,27.79,0.966,0.874,0.853,0.831
80303,compressed,h264_nvenc to h264_nvenc,267.98,6661638,6661.638,,82.45,0.00,0.00,0.00,22.00,115.75%,80.80,302.81,,41.09,31.97,29.13,27.57,0.965,0.869,0.841,0.806
80304,compressed,h264_nvenc to h265_nvenc,185.42,6532453,6532.453,,82.81,0.00,0.00,0.00,22.04,115.92%,78.88,296.38,,41.19,31.43,27.75,25.31,0.966,0.861,0.821,0.793
80306,compressed,h264_nvenc to h264_qsv_v6_q,96.97,7778818,7778.818,,82.60,0.00,0.00,0.00,22.00,115.86%,94.18,353.56,,41.06,32.23,29.54,28.02,0.965,0.875,0.854,0.834
80307,compressed,h264_nvenc to h265_qsv_v6_q,76.30,4603167,4603.167,,81.90,0.00,0.00,0.00,21.89,115.62%,56.21,210.25,,40.70,31.97,29.37,27.87,0.963,0.870,0.849,0.827
