File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
60100,grain,h264,55.97,13307654,13307.654,,94.26,88.13,85.76,85.11,94.18,0.09%,141.18,141.31,,41.55,37.80,37.49,37.39,0.965,0.952,0.951,0.950
60101,grain,h264 to h264,70.76,11016576,11016.576,,91.98,85.45,83.30,82.00,91.88,0.11%,119.77,119.90,,40.20,36.88,36.55,36.47,0.952,0.935,0.933,0.933
60102,grain,h264 to h265,10.07,10356641,10356.641,,92.25,85.60,82.99,82.23,92.15,0.11%,112.27,112.39,,40.34,36.90,36.56,36.48,0.953,0.935,0.933,0.933
60103,grain,h264 to h264_nvenc,246.21,12587022,12587.022,,92.97,86.75,84.65,84.06,92.89,0.09%,135.39,135.51,,40.21,36.87,36.35,35.67,0.951,0.923,0.918,0.916
60104,grain,h264 to h265_nvenc,180.38,9603551,9603.551,,92.82,86.36,84.29,82.51,92.73,0.10%,103.46,103.57,,40.14,36.33,35.80,35.25,0.950,0.923,0.919,0.918
60106,grain,h264 to h264_qsv_v6_q,87.82,22028696,22028.696,,93.62,87.55,85.47,84.77,93.53,0.09%,235.30,235.52,,40.78,37.42,37.02,36.91,0.958,0.941,0.939,0.937
60107,grain,h264 to h265_qsv_v6_q,77.53,9227321,9227.321,,91.07,84.64,82.20,81.59,90.98,0.11%,101.32,101.43,,39.71,36.45,35.96,35.81,0.947,0.923,0.919,0.917
60200,grain,h265,8.81,12861462,12861.462,,95.52,89.83,87.56,87.08,95.45,0.08%,134.64,134.75,,42.23,39.46,39.11,38.76,0.968,0.958,0.957,0.956
60201,grain,h265 to h264,63.07,11168508,11168.508,,92.18,85.94,83.68,82.82,92.09,0.10%,121.16,121.28,,40.28,37.09,36.74,36.65,0.952,0.936,0.934,0.934
60202,grain,h265 to h265,8.95,11425481,11425.481,,93.24,87.04,84.47,83.46,93.14,0.10%,122.54,122.66,,40.92,38.04,37.82,37.46,0.958,0.944,0.941,0.940
60203,grain,h265 to h264_nvenc,217.12,12909674,12909.674,,93.90,88.01,85.32,84.61,93.82,0.09%,137.48,137.59,,40.52,37.62,36.77,36.16,0.953,0.926,0.922,0.921
60204,grain,h265 to h265_nvenc,179.32,9607631,9607.631,,93.58,87.56,84.89,82.90,93.49,0.09%,102.67,102.76,,40.38,36.93,36.17,35.68,0.951,0.924,0.922,0.919
60206,grain,h265 to h264_qsv_v6_q,84.08,23256376,23256.376,,94.75,89.07,86.93,86.05,94.68,0.08%,245.44,245.64,,41.27,38.75,38.32,38.11,0.961,0.946,0.944,0.944
60207,grain,h265 to h265_qsv_v6_q,74.85,9746042,9746.042,,92.48,86.10,83.68,82.19,92.38,0.10%,105.39,105.50,,40.06,37.24,36.75,36.54,0.949,0.927,0.923,0.919
60300,grain,h264_nvenc,239.65,13557453,13557.453,,96.03,91.07,88.30,84.42,95.97,0.05%,141.18,141.26,,41.62,38.48,37.19,36.44,0.963,0.936,0.935,0.935
60301,grain,h264_nvenc to h264,76.27,8367457,8367.457,,92.28,86.07,84.27,83.62,92.19,0.10%,90.67,90.76,,39.80,36.73,35.99,35.43,0.945,0.915,0.911,0.909
60302,grain,h264_nvenc to h265,10.73,8360525,8360.525,,93.40,87.20,84.20,83.48,93.31,0.10%,89.52,89.60,,40.19,37.27,36.28,35.52,0.948,0.916,0.913,0.911
60303,grain,h264_nvenc to h264_nvenc,242.38,12158569,12158.569,,94.84,89.55,86.74,82.96,94.78,0.07%,128.20,128.29,,40.61,37.64,36.26,35.62,0.953,0.919,0.917,0.914
60304,grain,h264_nvenc to h265_nvenc,183.98,9602263,9602.263,,94.50,88.73,85.67,80.30,94.43,0.08%,101.61,101.69,,40.20,36.72,35.64,35.07,0.947,0.908,0.906,0.903
