File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
00100,webdl,h264,121.29,1612377,1612.377,,94.80,89.83,88.52,88.25,94.75,0.05%,17.01,17.02,,49.88,42.27,41.29,41.19,0.992,0.965,0.958,0.957
00101,webdl,h264 to h264,153.68,1500040,1500.04,,93.64,87.15,85.65,85.36,93.56,0.09%,16.02,16.03,,49.34,41.40,40.50,40.17,0.991,0.960,0.953,0.950
00102,webdl,h264 to h265,76.24,721530,721.53,,93.15,85.84,84.52,84.30,93.07,0.10%,7.75,7.75,,49.19,41.36,40.59,40.42,0.991,0.959,0.952,0.952
00103,webdl,h264 to h264_nvenc,279.49,3078667,3078.667,,94.40,89.04,87.55,87.25,94.34,0.06%,32.61,32.63,,49.63,41.78,40.89,40.72,0.992,0.962,0.956,0.953
00104,webdl,h264 to h265_nvenc,200.54,3334340,3334.34,,94.25,88.81,87.46,87.18,94.19,0.07%,35.38,35.40,,49.81,41.87,40.99,40.85,0.992,0.963,0.957,0.954
00106,webdl,h264 to h264_qsv_v6_q,100.75,2428115,2428.115,,94.04,87.74,86.50,86.21,93.97,0.08%,25.82,25.84,,49.52,41.66,40.93,40.82,0.992,0.962,0.956,0.955
00107,webdl,h264 to h265_qsv_v6_q,81.38,1614953,1614.953,,92.92,84.49,82.57,82.35,92.79,0.13%,17.38,17.40,,48.16,41.18,40.31,40.18,0.989,0.960,0.954,0.951
00200,webdl,h265,75.91,754374,754.374,,94.30,87.72,87.10,86.55,94.23,0.07%,8.00,8.01,,49.63,42.61,41.68,41.48,0.991,0.961,0.955,0.953
00201,webdl,h265 to h264,145.32,1027383,1027.383,,92.52,84.98,83.36,82.73,92.41,0.12%,11.10,11.12,,49.09,41.01,40.18,39.95,0.991,0.958,0.952,0.950
00202,webdl,h265 to h265,76.78,635071,635.071,,92.69,84.71,83.05,82.78,92.58,0.12%,6.85,6.86,,49.12,41.75,40.90,40.72,0.990,0.959,0.953,0.953
00203,webdl,h265 to h264_nvenc,208.83,2487544,2487.544,,93.83,86.97,86.24,85.72,93.75,0.08%,26.51,26.53,,49.58,42.14,41.15,40.98,0.992,0.961,0.954,0.954
00204,webdl,h265 to h265_nvenc,202.74,2733313,2733.313,,93.66,86.90,85.66,85.12,93.58,0.09%,29.18,29.21,,49.55,42.21,41.28,41.10,0.991,0.961,0.954,0.954
00206,webdl,h265 to h264_qsv_v6_q,92.27,1911407,1911.407,,93.44,85.65,85.04,85.01,93.34,0.10%,20.46,20.48,,49.42,42.00,41.23,40.95,0.991,0.961,0.955,0.954
00207,webdl,h265 to h265_qsv_v6_q,77.89,1179517,1179.517,,91.99,83.21,81.99,81.64,91.84,0.16%,12.82,12.84,,48.58,41.48,40.84,40.77,0.989,0.960,0.953,0.952
00300,webdl,h264_nvenc,276.98,4483534,4483.534,,96.75,92.98,92.47,92.36,96.73,0.02%,46.34,46.35,,51.77,44.58,43.73,43.66,0.994,0.973,0.967,0.967
00301,webdl,h264_nvenc to h264,167.56,1428387,1428.387,,94.24,88.28,87.43,87.40,94.18,0.07%,15.16,15.17,,49.72,41.60,40.70,40.45,0.992,0.962,0.955,0.953
00302,webdl,h264_nvenc to h265,75.34,729326,729.326,,93.95,86.93,86.14,85.92,93.88,0.08%,7.76,7.77,,49.52,42.23,41.27,40.89,0.991,0.960,0.954,0.953
00303,webdl,h264_nvenc to h264_nvenc,276.79,4049438,4049.438,,96.28,91.70,91.11,90.97,96.25,0.03%,42.06,42.07,,51.16,43.92,43.11,43.08,0.993,0.971,0.965,0.964
